g	1	0	-29442.0	10.3
g	1	1	-1501.0	18.1
h	1	1	4797.1	-26.6
g	2	0	-2445.1	-8.7
g	2	1	3012.9	-3.3
h	2	1	-2845.6	-27.4
g	2	2	1676.7	2.1
h	2	2	-641.9	-14.1
g	3	0	1350.7	3.4
g	3	1	-2352.3	-5.5
h	3	1	-115.3	8.2
g	3	2	1225.6	-0.7
h	3	2	244.9	-0.4
g	3	3	582.0	-10.1
h	3	3	-538.4	1.8
g	4	0	907.6	-0.7
g	4	1	813.7	0.2
h	4	1	283.3	-1.3
g	4	2	120.4	-9.1
h	4	2	-188.7	5.3
g	4	3	-334.9	4.1
h	4	3	180.9	2.9
g	4	4	70.4	-4.3
h	4	4	-329.5	-5.2
g	5	0	-232.6	-0.2
g	5	1	360.1	0.5
h	5	1	47.3	0.6
g	5	2	192.4	-1.3
h	5	2	197.0	1.7
g	5	3	-140.9	-0.1
h	5	3	-119.3	-1.2
g	5	4	-157.5	1.4
h	5	4	16.0	3.4
g	5	5	4.1	3.9
h	5	5	100.2	0.0
g	6	0	70.0	-0.3
g	6	1	67.7	-0.1
h	6	1	-20.8	0.0
g	6	2	72.7	-0.7
h	6	2	33.2	-2.1
g	6	3	-129.9	2.1
h	6	3	58.9	-0.7
g	6	4	-28.9	-1.2
h	6	4	-66.7	0.2
g	6	5	13.2	0.3
h	6	5	7.3	0.9
g	6	6	-70.9	1.6
h	6	6	62.6	1.0
g	7	0	81.6	0.3
g	7	1	-76.1	-0.2
h	7	1	-54.1	0.8
g	7	2	-6.8	-0.5
h	7	2	-19.5	0.4
g	7	3	51.8	1.3
h	7	3	5.7	-0.2
g	7	4	15.0	0.1
h	7	4	24.4	-0.3
g	7	5	9.4	-0.6
h	7	5	3.4	-0.6
g	7	6	-2.8	-0.8
h	7	6	-27.4	0.1
g	7	7	6.8	0.2
h	7	7	-2.2	-0.2
g	8	0	24.2	0.2
g	8	1	8.8	0.0
h	8	1	10.1	-0.3
g	8	2	-16.9	-0.6
h	8	2	-18.3	0.3
g	8	3	-3.2	0.5
h	8	3	13.3	0.1
g	8	4	-20.6	-0.2
